timestamp [ns],worldFrame,world_gazeX,world_gazeY,ref_gazeX,ref_gazeY,number_point_matches,mapped
1703060749889805967,22,784.192,567.755,0.0,0.0,0,False
1703060749896399967,22,775.089,583.045,0.0,0.0,0,False
1703060749902341967,22,782.743,604.045,0.0,0.0,0,False
1703060749905681967,22,742.107,605.692,0.0,0.0,0,False
1703060749911718967,22,768.11,587.289,0.0,0.0,0,False
1703060749914803967,22,763.436,568.111,0.0,0.0,0,False
1703060749921154967,22,773.302,570.712,0.0,0.0,0,False
1703060749927366967,22,787.789,546.706,0.0,0.0,0,False
1703060749930487967,22,779.866,583.002,0.0,0.0,0,False
1703060749936816967,22,808.444,580.523,0.0,0.0,0,False
1703060749939799967,22,837.75,597.169,0.0,0.0,0,False
1703060749946568967,24,822.841,585.971,0.0,0.0,0,False
1703060749952355967,24,799.366,585.239,0.0,0.0,0,False
1703060749956375967,24,749.986,587.194,0.0,0.0,0,False
1703060749961772967,24,767.714,581.81,0.0,0.0,0,False
1703060749965195967,24,768.375,620.414,0.0,0.0,0,False
1703060749971238967,24,772.093,593.941,0.0,0.0,0,False
1703060749977455967,24,788.809,580.423,0.0,0.0,0,False
1703060749980486967,24,807.965,557.657,0.0,0.0,0,False
1703060749986897967,24,758.542,545.372,0.0,0.0,0,False
1703060749991064967,24,759.777,555.273,0.0,0.0,0,False
1703060749996081967,24,761.646,557.382,0.0,0.0,0,False
1703060750002494967,24,734.263,545.058,0.0,0.0,0,False
1703060750006139967,24,747.852,554.573,0.0,0.0,0,False
1703060750011801967,24,747.209,543.693,0.0,0.0,0,False
1703060750015098967,24,747.6,532.692,0.0,0.0,0,False
1703060750021117967,24,759.454,518.235,0.0,0.0,0,False
1703060750027435967,24,765.116,500.316,0.0,0.0,0,False
1703060750030427967,24,767.149,497.801,0.0,0.0,0,False
1703060750036703967,24,772.319,505.04,0.0,0.0,0,False
1703060750039959967,24,735.075,506.778,0.0,0.0,0,False
1703060750046149967,24,741.162,493.004,0.0,0.0,0,False
1703060750052414967,24,731.145,517.44,0.0,0.0,0,False
1703060750055759967,24,711.172,500.074,0.0,0.0,0,False
1703060750061968967,24,704.29,492.094,0.0,0.0,0,False
1703060750064903967,24,684.93,475.494,0.0,0.0,0,False
1703060750071072967,24,663.701,471.897,0.0,0.0,0,False
1703060750077424967,24,623.906,456.461,0.0,0.0,0,False
1703060750083862967,24,621.513,457.695,0.0,0.0,0,False
1703060750086726967,24,601.008,420.682,0.0,0.0,0,False
1703060750091501967,24,614.132,442.613,0.0,0.0,0,False
1703060750096196967,24,643.77,451.209,0.0,0.0,0,False
1703060750102366967,24,592.98,433.096,0.0,0.0,0,False
1703060750105446967,24,593.856,443.076,0.0,0.0,0,False
1703060750111740967,24,573.437,454.109,0.0,0.0,0,False
1703060750114858967,24,621.914,438.21,0.0,0.0,0,False
1703060750121046967,24,620.434,479.769,0.0,0.0,0,False
1703060750127393967,24,628.091,468.922,0.0,0.0,0,False
1703060750131205967,24,647.837,488.847,0.0,0.0,0,False
1703060750136733967,24,652.402,483.195,0.0,0.0,0,False
